종목,지역,전체_응답자수,있다고_응답한수
성인물,서울,1464,571
성인물,부산,854,364
성인물,대구,777,252
성인물,인천,860,367
성인물,광주,583,264
성인물,대전,589,249
성인물,울산,533,217
성인물,세종,316,112
성인물,경기,3034,1187
성인물,강원,500,249
성인물,충북,672,289
성인물,충남,760,336
성인물,전북,700,286
성인물,전남,611,249
성인물,경북,767,307
성인물,경남,1075,427
성인물,제주,441,172
도박,서울,1464,60
도박,부산,854,39
도박,대구,777,37
도박,인천,860,36
도박,광주,583,39
도박,대전,589,37
도박,울산,533,35
도박,세종,316,11
도박,경기,3034,165
도박,강원,500,36
도박,충북,672,40
도박,충남,760,40
도박,전북,700,34
도박,전남,611,33
도박,경북,767,28
도박,경남,1075,52
도박,제주,441,18
폭력,서울,1464,82
폭력,부산,854,59
폭력,대구,777,32
폭력,인천,860,43
폭력,광주,583,33
폭력,대전,589,37
폭력,울산,533,40
폭력,세종,316,17
폭력,경기,3034,142
폭력,강원,500,30
폭력,충북,672,42
폭력,충남,760,55
폭력,전북,700,44
폭력,전남,611,40
폭력,경북,767,36
폭력,경남,1075,60
폭력,제주,441,29
성폭력,서울,1464,29
성폭력,부산,854,26
성폭력,대구,777,8
성폭력,인천,860,11
성폭력,광주,583,12
성폭력,대전,589,11
성폭력,울산,533,17
성폭력,세종,316,2
성폭력,경기,3034,46
성폭력,강원,500,9
성폭력,충북,672,10
성폭력,충남,760,14
성폭력,전북,700,19
성폭력,전남,611,13
성폭력,경북,767,7
성폭력,경남,1075,16
성폭력,제주,441,8
가출,서울,1464,38
가출,부산,854,22
가출,대구,777,11
가출,인천,860,15
가출,광주,583,15
가출,대전,589,18
가출,울산,533,19
가출,세종,316,11
가출,경기,3034,72
가출,강원,500,11
가출,충북,672,23
가출,충남,760,21
가출,전북,700,19
가출,전남,611,10
가출,경북,767,25
가출,경남,1075,27
가출,제주,441,21
음주,서울,1464,111
음주,부산,854,65
음주,대구,777,64
음주,인천,860,63
음주,광주,583,52
음주,대전,589,56
음주,울산,533,52
음주,세종,316,33
음주,경기,3034,221
음주,강원,500,57
음주,충북,672,76
음주,충남,760,86
음주,전북,700,44
음주,전남,611,54
음주,경북,767,56
음주,경남,1075,98
음주,제주,441,30
흡연,서울,1464,47
흡연,부산,854,21
흡연,대구,777,30
흡연,인천,860,20
흡연,광주,583,21
흡연,대전,589,31
흡연,울산,533,26
흡연,세종,316,25
흡연,경기,3034,96
흡연,강원,500,18
흡연,충북,672,50
흡연,충남,760,31
흡연,전북,700,26
흡연,전남,611,27
흡연,경북,767,40
흡연,경남,1075,36
흡연,제주,441,16
약물,서울,1464,3
약물,부산,854,1
약물,대구,777,0
약물,인천,860,3
약물,광주,583,2
약물,대전,589,4
약물,울산,533,2
약물,세종,316,0
약물,경기,3034,11
약물,강원,500,4
약물,충북,672,2
약물,충남,760,1
약물,전북,700,4
약물,전남,611,0
약물,경북,767,1
약물,경남,1075,1
약물,제주,441,3
유해업소,서울,1464,804
유해업소,부산,854,488
유해업소,대구,777,420
유해업소,인천,860,476
유해업소,광주,583,341
유해업소,대전,589,330
유해업소,울산,533,319
유해업소,세종,316,164
유해업소,경기,3034,1604
유해업소,강원,500,326
유해업소,충북,672,377
유해업소,충남,760,439
유해업소,전북,700,392
유해업소,전남,611,321
유해업소,경북,767,397
유해업소,경남,1075,584
유해업소,제주,441,229
