종목,지역,전체_응답자수,있다고_응답한수
성인물,서울,2027,989
성인물,부산,981,478
성인물,대구,816,378
성인물,인천,1031,507
성인물,광주,725,394
성인물,대전,754,408
성인물,울산,753,314
성인물,세종,616,310
성인물,경기,2980,1442
성인물,강원,695,381
성인물,충북,752,416
성인물,충남,789,444
성인물,전북,560,290
성인물,전남,577,283
성인물,경북,803,384
성인물,경남,899,456
성인물,제주,625,310
도박,서울,2027,44
도박,부산,981,26
도박,대구,816,26
도박,인천,1031,18
도박,광주,725,27
도박,대전,754,32
도박,울산,753,23
도박,세종,616,21
도박,경기,2980,74
도박,강원,695,29
도박,충북,752,28
도박,충남,789,30
도박,전북,560,22
도박,전남,577,22
도박,경북,803,17
도박,경남,899,29
도박,제주,625,19
폭력,서울,2027,286
폭력,부산,981,127
폭력,대구,816,66
폭력,인천,1031,144
폭력,광주,725,114
폭력,대전,754,115
폭력,울산,753,83
폭력,세종,616,92
폭력,경기,2980,496
폭력,강원,695,124
폭력,충북,752,115
폭력,충남,789,160
폭력,전북,560,100
폭력,전남,577,88
폭력,경북,803,117
폭력,경남,899,160
폭력,제주,625,119
성폭력,서울,2027,92
성폭력,부산,981,44
성폭력,대구,816,26
성폭력,인천,1031,43
성폭력,광주,725,27
성폭력,대전,754,26
성폭력,울산,753,44
성폭력,세종,616,35
성폭력,경기,2980,185
성폭력,강원,695,48
성폭력,충북,752,49
성폭력,충남,789,52
성폭력,전북,560,40
성폭력,전남,577,31
성폭력,경북,803,45
성폭력,경남,899,40
성폭력,제주,625,42
가출,서울,2027,42
가출,부산,981,26
가출,대구,816,21
가출,인천,1031,22
가출,광주,725,18
가출,대전,754,20
가출,울산,753,9
가출,세종,616,12
가출,경기,2980,74
가출,강원,695,25
가출,충북,752,22
가출,충남,789,30
가출,전북,560,14
가출,전남,577,10
가출,경북,803,25
가출,경남,899,23
가출,제주,625,24
음주,서울,2027,170
음주,부산,981,110
음주,대구,816,66
음주,인천,1031,99
음주,광주,725,105
음주,대전,754,70
음주,울산,753,78
음주,세종,616,77
음주,경기,2980,229
음주,강원,695,111
음주,충북,752,110
음주,충남,789,83
음주,전북,560,53
음주,전남,577,63
음주,경북,803,86
음주,경남,899,86
음주,제주,625,73
흡연,서울,2027,52
흡연,부산,981,26
흡연,대구,816,23
흡연,인천,1031,31
흡연,광주,725,39
흡연,대전,754,24
흡연,울산,753,23
흡연,세종,616,23
흡연,경기,2980,73
흡연,강원,695,43
흡연,충북,752,41
흡연,충남,789,41
흡연,전북,560,16
흡연,전남,577,21
흡연,경북,803,24
흡연,경남,899,19
흡연,제주,625,39
약물,서울,2027,171
약물,부산,981,58
약물,대구,816,51
약물,인천,1031,66
약물,광주,725,74
약물,대전,754,73
약물,울산,753,53
약물,세종,616,40
약물,경기,2980,208
약물,강원,695,70
약물,충북,752,63
약물,충남,789,51
약물,전북,560,35
약물,전남,577,38
약물,경북,803,53
약물,경남,899,68
약물,제주,625,41
유해업소,서울,2027,1144
유해업소,부산,981,598
유해업소,대구,816,458
유해업소,인천,1031,554
유해업소,광주,725,455
유해업소,대전,754,443
유해업소,울산,753,430
유해업소,세종,616,368
유해업소,경기,2980,1624
유해업소,강원,695,456
유해업소,충북,752,454
유해업소,충남,789,448
유해업소,전북,560,279
유해업소,전남,577,300
유해업소,경북,803,454
유해업소,경남,899,551
유해업소,제주,625,359
