종목,지역,전체_응답자수,있다고_응답한수
성인물,서울,2050,883
성인물,부산,868,369
성인물,대구,836,352
성인물,인천,853,407
성인물,광주,633,264
성인물,대전,634,302
성인물,울산,601,243
성인물,세종,288,108
성인물,경기,3279,1370
성인물,강원,568,246
성인물,충북,633,289
성인물,충남,750,313
성인물,전북,724,333
성인물,전남,678,268
성인물,경북,775,345
성인물,경남,1018,451
성인물,제주,469,164
도박,서울,2050,78
도박,부산,868,39
도박,대구,836,52
도박,인천,853,42
도박,광주,633,25
도박,대전,634,37
도박,울산,601,31
도박,세종,288,11
도박,경기,3279,126
도박,강원,568,23
도박,충북,633,28
도박,충남,750,28
도박,전북,724,39
도박,전남,678,19
도박,경북,775,31
도박,경남,1018,54
도박,제주,469,26
폭력,서울,2050,170
폭력,부산,868,67
폭력,대구,836,58
폭력,인천,853,60
폭력,광주,633,41
폭력,대전,634,54
폭력,울산,601,52
폭력,세종,288,30
폭력,경기,3279,257
폭력,강원,568,62
폭력,충북,633,76
폭력,충남,750,72
폭력,전북,724,68
폭력,전남,678,61
폭력,경북,775,67
폭력,경남,1018,102
폭력,제주,469,48
성폭력,서울,2050,62
성폭력,부산,868,22
성폭력,대구,836,19
성폭력,인천,853,23
성폭력,광주,633,17
성폭력,대전,634,20
성폭력,울산,601,12
성폭력,세종,288,6
성폭력,경기,3279,79
성폭력,강원,568,14
성폭력,충북,633,23
성폭력,충남,750,15
성폭력,전북,724,26
성폭력,전남,678,16
성폭력,경북,775,20
성폭력,경남,1018,35
성폭력,제주,469,12
가출,서울,2050,58
가출,부산,868,14
가출,대구,836,26
가출,인천,853,24
가출,광주,633,21
가출,대전,634,18
가출,울산,601,17
가출,세종,288,6
가출,경기,3279,84
가출,강원,568,18
가출,충북,633,11
가출,충남,750,16
가출,전북,724,14
가출,전남,678,17
가출,경북,775,20
가출,경남,1018,34
가출,제주,469,13
음주,서울,2050,158
음주,부산,868,85
음주,대구,836,110
음주,인천,853,77
음주,광주,633,83
음주,대전,634,78
음주,울산,601,80
음주,세종,288,26
음주,경기,3279,334
음주,강원,568,71
음주,충북,633,56
음주,충남,750,90
음주,전북,724,93
음주,전남,678,73
음주,경북,775,88
음주,경남,1018,115
음주,제주,469,36
흡연,서울,2050,71
흡연,부산,868,39
흡연,대구,836,58
흡연,인천,853,38
흡연,광주,633,33
흡연,대전,634,33
흡연,울산,601,33
흡연,세종,288,12
흡연,경기,3279,133
흡연,강원,568,29
흡연,충북,633,23
흡연,충남,750,41
흡연,전북,724,31
흡연,전남,678,41
흡연,경북,775,37
흡연,경남,1018,32
흡연,제주,469,13
약물,서울,2050,2
약물,부산,868,1
약물,대구,836,7
약물,인천,853,2
약물,광주,633,1
약물,대전,634,1
약물,울산,601,3
약물,세종,288,1
약물,경기,3279,6
약물,강원,568,2
약물,충북,633,1
약물,충남,750,2
약물,전북,724,0
약물,전남,678,3
약물,경북,775,0
약물,경남,1018,6
약물,제주,469,1
유해업소,서울,2050,1276
유해업소,부산,868,551
유해업소,대구,836,537
유해업소,인천,853,570
유해업소,광주,633,447
유해업소,대전,634,437
유해업소,울산,601,399
유해업소,세종,288,170
유해업소,경기,3279,2039
유해업소,강원,568,386
유해업소,충북,633,396
유해업소,충남,750,468
유해업소,전북,724,468
유해업소,전남,678,444
유해업소,경북,775,494
유해업소,경남,1018,651
유해업소,제주,469,298
