연도,종목,지역,전체_응답자수,있다고_응답한수,위험도,,,,,총위험도
2022,성인물,서울,2027,989,48.8,,,,서울,16.38888889
2022,성인물,부산,981,478,48.7,,,,부산,16.92222222
2022,성인물,대구,816,378,46.3,,,,대구,15.18888889
2022,성인물,인천,1031,507,49.2,,,,인천,15.98888889
2022,성인물,광주,725,394,54.3,,,,광주,19.2
2022,성인물,대전,754,408,54.1,,,,대전,17.85555556
2022,성인물,울산,753,314,41.7,,,,울산,15.6
2022,성인물,세종,616,310,50.3,,,,세종,17.62222222
2022,성인물,경기,2980,1442,48.4,,,,경기,16.42222222
2022,성인물,강원,695,381,54.8,,,,강원,20.57777778
2022,성인물,충북,752,416,55.3,,,,충북,19.17777778
2022,성인물,충남,863,495,57.4,,,,충남,18.98888889
2022,성인물,전북,768,406,52.9,,,,전북,18.7
2022,성인물,전남,747,366,49,,,,전남,17.01111111
2022,성인물,경북,890,435,48.9,,,,경북,17.44444444
2022,성인물,경남,1044,530,50.8,,,,경남,17.55555556
2022,성인물,제주,698,360,51.6,,,,제주,19.18888889
2022,도박,서울,2027,44,2.2,,,,,
2022,도박,부산,981,26,2.7,,,,,
2022,도박,대구,816,26,3.2,,,,,
2022,도박,인천,1031,18,1.7,,,,,
2022,도박,광주,725,27,3.7,,,,,
2022,도박,대전,754,32,4.2,,,,,
2022,도박,울산,753,23,3.1,,,,,
2022,도박,세종,616,21,3.4,,,,,
2022,도박,경기,2980,74,2.5,,,,,
2022,도박,강원,695,29,4.2,,,,,
2022,도박,충북,752,28,3.7,,,,,
2022,도박,충남,863,34,3.9,,,,,
2022,도박,전북,768,39,5.1,,,,,
2022,도박,전남,747,29,3.9,,,,,
2022,도박,경북,890,22,2.5,,,,,
2022,도박,경남,1044,32,3.1,,,,,
2022,도박,제주,698,21,3,,,,,
2022,폭력,서울,2027,286,14.1,,,,,
2022,폭력,부산,981,127,12.9,,,,,
2022,폭력,대구,816,66,8.1,,,,,
2022,폭력,인천,1031,144,14,,,,,
2022,폭력,광주,725,114,15.7,,,,,
2022,폭력,대전,754,115,15.3,,,,,
2022,폭력,울산,753,83,11,,,,,
2022,폭력,세종,616,92,14.9,,,,,
2022,폭력,경기,2980,496,16.6,,,,,
2022,폭력,강원,695,124,17.8,,,,,
2022,폭력,충북,752,115,15.3,,,,,
2022,폭력,충남,863,183,21.2,,,,,
2022,폭력,전북,768,140,18.2,,,,,
2022,폭력,전남,747,101,13.5,,,,,
2022,폭력,경북,890,125,14,,,,,
2022,폭력,경남,1044,187,17.9,,,,,
2022,폭력,제주,698,132,18.9,,,,,
2022,성폭력,서울,2027,92,4.5,,,,,
2022,성폭력,부산,981,44,4.5,,,,,
2022,성폭력,대구,816,26,3.2,,,,,
2022,성폭력,인천,1031,43,4.2,,,,,
2022,성폭력,광주,725,27,3.7,,,,,
2022,성폭력,대전,754,26,3.4,,,,,
2022,성폭력,울산,753,44,5.8,,,,,
2022,성폭력,세종,616,35,5.7,,,,,
2022,성폭력,경기,2980,185,6.2,,,,,
2022,성폭력,강원,695,48,6.9,,,,,
2022,성폭력,충북,752,49,6.5,,,,,
2022,성폭력,충남,863,54,6.3,,,,,
2022,성폭력,전북,768,48,6.3,,,,,
2022,성폭력,전남,747,34,4.6,,,,,
2022,성폭력,경북,890,45,5.1,,,,,
2022,성폭력,경남,1044,48,4.6,,,,,
2022,성폭력,제주,698,48,6.9,,,,,
2022,가출,서울,2027,42,2.1,,,,,
2022,가출,부산,981,26,2.7,,,,,
2022,가출,대구,816,21,2.6,,,,,
2022,가출,인천,1031,22,2.1,,,,,
2022,가출,광주,725,18,2.5,,,,,
2022,가출,대전,754,20,2.7,,,,,
2022,가출,울산,753,9,1.2,,,,,
2022,가출,세종,616,12,1.9,,,,,
2022,가출,경기,2980,74,2.5,,,,,
2022,가출,강원,695,25,3.6,,,,,
2022,가출,충북,752,22,2.9,,,,,
2022,가출,충남,863,31,3.6,,,,,
2022,가출,전북,768,27,3.5,,,,,
2022,가출,전남,747,17,2.3,,,,,
2022,가출,경북,890,27,3,,,,,
2022,가출,경남,1044,25,2.4,,,,,
2022,가출,제주,698,27,3.9,,,,,
2022,음주,서울,2027,170,8.4,,,,,
2022,음주,부산,981,110,11.2,,,,,
2022,음주,대구,816,66,8.1,,,,,
2022,음주,인천,1031,99,9.6,,,,,
2022,음주,광주,725,105,14.5,,,,,
2022,음주,대전,754,70,9.3,,,,,
2022,음주,울산,753,78,10.4,,,,,
2022,음주,세종,616,77,12.5,,,,,
2022,음주,경기,2980,229,7.7,,,,,
2022,음주,강원,695,111,16,,,,,
2022,음주,충북,752,110,14.6,,,,,
2022,음주,충남,863,88,10.2,,,,,
2022,음주,전북,768,89,11.6,,,,,
2022,음주,전남,747,78,10.4,,,,,
2022,음주,경북,890,114,12.8,,,,,
2022,음주,경남,1044,102,9.8,,,,,
2022,음주,제주,698,97,13.9,,,,,
2022,흡연,서울,2027,52,2.6,,,,,
2022,흡연,부산,981,26,2.7,,,,,
2022,흡연,대구,816,23,2.8,,,,,
2022,흡연,인천,1031,31,3,,,,,
2022,흡연,광주,725,39,5.4,,,,,
2022,흡연,대전,754,24,3.2,,,,,
2022,흡연,울산,753,23,3.1,,,,,
2022,흡연,세종,616,23,3.7,,,,,
2022,흡연,경기,2980,73,2.4,,,,,
2022,흡연,강원,695,43,6.2,,,,,
2022,흡연,충북,752,41,5.5,,,,,
2022,흡연,충남,863,43,5,,,,,
2022,흡연,전북,768,30,3.9,,,,,
2022,흡연,전남,747,27,3.6,,,,,
2022,흡연,경북,890,41,4.6,,,,,
2022,흡연,경남,1044,20,1.9,,,,,
2022,흡연,제주,698,48,6.9,,,,,
2022,약물,서울,2027,171,8.4,,,,,
2022,약물,부산,981,58,5.9,,,,,
2022,약물,대구,816,51,6.3,,,,,
2022,약물,인천,1031,66,6.4,,,,,
2022,약물,광주,725,74,10.2,,,,,
2022,약물,대전,754,73,9.7,,,,,
2022,약물,울산,753,53,7,,,,,
2022,약물,세종,616,40,6.5,,,,,
2022,약물,경기,2980,208,7,,,,,
2022,약물,강원,695,70,10.1,,,,,
2022,약물,충북,752,63,8.4,,,,,
2022,약물,충남,863,53,6.1,,,,,
2022,약물,전북,768,57,7.4,,,,,
2022,약물,전남,747,54,7.2,,,,,
2022,약물,경북,890,61,6.9,,,,,
2022,약물,경남,1044,81,7.8,,,,,
2022,약물,제주,698,49,7,,,,,
2022,유해업소,서울,2027,1144,56.4,,,,,
2022,유해업소,부산,981,598,61,,,,,
2022,유해업소,대구,816,458,56.1,,,,,
2022,유해업소,인천,1031,554,53.7,,,,,
2022,유해업소,광주,725,455,62.8,,,,,
2022,유해업소,대전,754,443,58.8,,,,,
2022,유해업소,울산,753,430,57.1,,,,,
2022,유해업소,세종,616,368,59.7,,,,,
2022,유해업소,경기,2980,1624,54.5,,,,,
2022,유해업소,강원,695,456,65.6,,,,,
2022,유해업소,충북,752,454,60.4,,,,,
2022,유해업소,충남,863,494,57.2,,,,,
2022,유해업소,전북,768,456,59.4,,,,,
2022,유해업소,전남,747,438,58.6,,,,,
2022,유해업소,경북,890,527,59.2,,,,,
2022,유해업소,경남,1044,623,59.7,,,,,
2022,유해업소,제주,698,423,60.6,,,,,
,,,,,,,,,,
,총 인원,17140,,,,,,,,
