연도,종목,지역,전체_응답자수,있다고_응답한수,위험도,,,,,총위험도
2018,성인물,서울,2050,883,43.1,,,,서울,14.94444444
2018,성인물,부산,868,369,42.5,,,,부산,15.18888889
2018,성인물,대구,836,352,42.1,,,,대구,16.18888889
2018,성인물,인천,853,407,47.7,,,,인천,16.17777778
2018,성인물,광주,633,264,41.7,,,,광주,16.35555556
2018,성인물,대전,634,302,47.6,,,,대전,17.16666667
2018,성인물,울산,601,243,40.4,,,,울산,16.08888889
2018,성인물,세종,288,108,37.5,,,,세종,14.26666667
2018,성인물,경기,3279,1370,41.8,,,,경기,15.01111111
2018,성인물,강원,568,246,43.3,,,,강원,16.65555556
2018,성인물,충북,633,289,45.7,,,,충북,15.84444444
2018,성인물,충남,750,313,41.7,,,,충남,15.47777778
2018,성인물,전북,724,333,46,,,,전북,16.44444444
2018,성인물,전남,678,268,39.5,,,,전남,15.43333333
2018,성인물,경북,775,345,44.5,,,,경북,15.8
2018,성인물,경남,1018,451,44.3,,,,경남,16.13333333
2018,성인물,제주,469,164,35,,,,제주,14.47777778
2018,도박,서울,2050,78,3.8,,,,,
2018,도박,부산,868,39,4.5,,,,,
2018,도박,대구,836,52,6.2,,,,,
2018,도박,인천,853,42,4.9,,,,,
2018,도박,광주,633,25,3.9,,,,,
2018,도박,대전,634,37,5.8,,,,,
2018,도박,울산,601,31,5.2,,,,,
2018,도박,세종,288,11,3.8,,,,,
2018,도박,경기,3279,126,3.8,,,,,
2018,도박,강원,568,23,4,,,,,
2018,도박,충북,633,28,4.4,,,,,
2018,도박,충남,750,28,3.7,,,,,
2018,도박,전북,724,39,5.4,,,,,
2018,도박,전남,678,19,2.8,,,,,
2018,도박,경북,775,31,4,,,,,
2018,도박,경남,1018,54,5.3,,,,,
2018,도박,제주,469,26,5.5,,,,,
2018,폭력,서울,2050,170,8.3,,,,,
2018,폭력,부산,868,67,7.7,,,,,
2018,폭력,대구,836,58,6.9,,,,,
2018,폭력,인천,853,60,7,,,,,
2018,폭력,광주,633,41,6.5,,,,,
2018,폭력,대전,634,54,8.5,,,,,
