연도,종목,지역,전체_응답자수,있다고_응답한수,위험도,,,,,총위험도
2018,폭력,울산,601,52,8.7,,,,,
2018,폭력,세종,288,30,10.4,,,,,
2018,폭력,경기,3279,257,7.8,,,,,
2018,폭력,강원,568,62,10.9,,,,,
2018,폭력,충북,633,76,12,,,,,
2018,폭력,충남,750,72,9.6,,,,,
2018,폭력,전북,724,68,9.4,,,,,
2018,폭력,전남,678,61,9,,,,,
2018,폭력,경북,775,67,8.6,,,,,
2018,폭력,경남,1018,102,10,,,,,
2018,폭력,제주,469,48,10.2,,,,,
2018,성폭력,서울,2050,62,3,,,,,
2018,성폭력,부산,868,22,2.5,,,,,
2018,성폭력,대구,836,19,2.3,,,,,
2018,성폭력,인천,853,23,2.7,,,,,
2018,성폭력,광주,633,17,2.7,,,,,
2018,성폭력,대전,634,20,3.2,,,,,
2018,성폭력,울산,601,12,2,,,,,
2018,성폭력,세종,288,6,2.1,,,,,
2018,성폭력,경기,3279,79,2.4,,,,,
2018,성폭력,강원,568,14,2.5,,,,,
2018,성폭력,충북,633,23,3.6,,,,,
2018,성폭력,충남,750,15,2,,,,,
2018,성폭력,전북,724,26,3.6,,,,,
2018,성폭력,전남,678,16,2.4,,,,,
2018,성폭력,경북,775,20,2.6,,,,,
2018,성폭력,경남,1018,35,3.4,,,,,
2018,성폭력,제주,469,12,2.6,,,,,
2018,가출,서울,2050,58,2.8,,,,,
2018,가출,부산,868,14,1.6,,,,,
2018,가출,대구,836,26,3.1,,,,,
2018,가출,인천,853,24,2.8,,,,,
2018,가출,광주,633,21,3.3,,,,,
2018,가출,대전,634,18,2.8,,,,,
2018,가출,울산,601,17,2.8,,,,,
2018,가출,세종,288,6,2.1,,,,,
2018,가출,경기,3279,84,2.6,,,,,
2018,가출,강원,568,18,3.2,,,,,
2018,가출,충북,633,11,1.7,,,,,
2018,가출,충남,750,16,2.1,,,,,
2018,가출,전북,724,14,1.9,,,,,
2018,가출,전남,678,17,2.5,,,,,
2018,가출,경북,775,20,2.6,,,,,
2018,가출,경남,1018,34,3.3,,,,,
2018,가출,제주,469,13,2.8,,,,,
2018,음주,서울,2050,158,7.7,,,,,
2018,음주,부산,868,85,9.8,,,,,
2018,음주,대구,836,110,13.2,,,,,
2018,음주,인천,853,77,9,,,,,
2018,음주,광주,633,83,13.1,,,,,
2018,음주,대전,634,78,12.3,,,,,
2018,음주,울산,601,80,13.3,,,,,
2018,음주,세종,288,26,9,,,,,
2018,음주,경기,3279,334,10.2,,,,,
2018,음주,강원,568,71,12.5,,,,,
2018,음주,충북,633,56,8.8,,,,,
2018,음주,충남,750,90,12,,,,,
2018,음주,전북,724,93,12.8,,,,,
2018,음주,전남,678,73,10.8,,,,,
2018,음주,경북,775,88,11.4,,,,,
2018,음주,경남,1018,115,11.3,,,,,
2018,음주,제주,469,36,7.7,,,,,
2018,흡연,서울,2050,71,3.5,,,,,
2018,흡연,부산,868,39,4.5,,,,,
2018,흡연,대구,836,58,6.9,,,,,
2018,흡연,인천,853,38,4.5,,,,,
2018,흡연,광주,633,33,5.2,,,,,
2018,흡연,대전,634,33,5.2,,,,,
2018,흡연,울산,601,33,5.5,,,,,
2018,흡연,세종,288,12,4.2,,,,,
2018,흡연,경기,3279,133,4.1,,,,,
2018,흡연,강원,568,29,5.1,,,,,
2018,흡연,충북,633,23,3.6,,,,,
2018,흡연,충남,750,41,5.5,,,,,
2018,흡연,전북,724,31,4.3,,,,,
2018,흡연,전남,678,41,6,,,,,
2018,흡연,경북,775,37,4.8,,,,,
2018,흡연,경남,1018,32,3.1,,,,,
2018,흡연,제주,469,13,2.8,,,,,
2018,약물,서울,2050,2,0.1,,,,,
2018,약물,부산,868,1,0.1,,,,,
2018,약물,대구,836,7,0.8,,,,,
2018,약물,인천,853,2,0.2,,,,,
2018,약물,광주,633,1,0.2,,,,,
2018,약물,대전,634,1,0.2,,,,,
2018,약물,울산,601,3,0.5,,,,,
2018,약물,세종,288,1,0.3,,,,,
2018,약물,경기,3279,6,0.2,,,,,
2018,약물,강원,568,2,0.4,,,,,
2018,약물,충북,633,1,0.2,,,,,
2018,약물,충남,750,2,0.3,,,,,
2018,약물,전북,724,0,0,,,,,
2018,약물,전남,678,3,0.4,,,,,
2018,약물,경북,775,0,0,,,,,
2018,약물,경남,1018,6,0.6,,,,,
2018,약물,제주,469,1,0.2,,,,,
2018,유해업소,서울,2050,1276,62.2,,,,,
2018,유해업소,부산,868,551,63.5,,,,,
2018,유해업소,대구,836,537,64.2,,,,,
2018,유해업소,인천,853,570,66.8,,,,,
2018,유해업소,광주,633,447,70.6,,,,,
2018,유해업소,대전,634,437,68.9,,,,,
2018,유해업소,울산,601,399,66.4,,,,,
2018,유해업소,세종,288,170,59,,,,,
2018,유해업소,경기,3279,2039,62.2,,,,,
2018,유해업소,강원,568,386,68,,,,,
2018,유해업소,충북,633,396,62.6,,,,,
2018,유해업소,충남,750,468,62.4,,,,,
2018,유해업소,전북,724,468,64.6,,,,,
2018,유해업소,전남,678,444,65.5,,,,,
2018,유해업소,경북,775,494,63.7,,,,,
2018,유해업소,경남,1018,651,63.9,,,,,
2018,유해업소,제주,469,298,63.5,,,,,
,,,,,,,,,,
,총 인원,15657,,,,,,,,
