연도,종목,지역,전체_응답자수,있다고_응답한수,위험도,,,,,총위험도
2016,유해업소,광주,682,470,68.9,,,,,
2016,유해업소,대전,665,448,67.4,,,,,
2016,유해업소,울산,560,400,71.4,,,,,
2016,유해업소,세종,277,158,57,,,,,
2016,유해업소,경기,3166,1990,62.9,,,,,
2016,유해업소,강원,574,399,69.5,,,,,
2016,유해업소,충북,584,411,70.4,,,,,
2016,유해업소,충남,746,504,67.6,,,,,
2016,유해업소,전북,718,468,65.2,,,,,
2016,유해업소,전남,637,449,70.5,,,,,
2016,유해업소,경북,814,536,65.8,,,,,
2016,유해업소,경남,1046,741,70.8,,,,,
2016,유해업소,제주,463,286,61.8,,,,,
,,,,,,,,,,
,총 인원,15646,,,,,,,,
