연도,종목,지역,전체_응답자수,있다고_응답한수,위험도,,,,,총위험도
2020,흡연,전남,611,27,4.4,,,,,
2020,흡연,경북,767,40,5.2,,,,,
2020,흡연,경남,1075,36,3.3,,,,,
2020,흡연,제주,441,16,3.6,,,,,
2020,약물,서울,1464,3,0.2,,,,,
2020,약물,부산,854,1,0.1,,,,,
2020,약물,대구,777,0,0,,,,,
2020,약물,인천,860,3,0.3,,,,,
2020,약물,광주,583,2,0.3,,,,,
2020,약물,대전,589,4,0.7,,,,,
2020,약물,울산,533,2,0.4,,,,,
2020,약물,세종,316,0,0,,,,,
2020,약물,경기,3034,11,0.4,,,,,
2020,약물,강원,500,4,0.8,,,,,
2020,약물,충북,672,2,0.3,,,,,
2020,약물,충남,760,1,0.1,,,,,
2020,약물,전북,700,4,0.6,,,,,
2020,약물,전남,611,0,0,,,,,
2020,약물,경북,767,1,0.1,,,,,
2020,약물,경남,1075,1,0.1,,,,,
2020,약물,제주,441,3,0.7,,,,,
2020,유해업소,서울,1464,804,54.9,,,,,
2020,유해업소,부산,854,488,57.1,,,,,
2020,유해업소,대구,777,420,54.1,,,,,
2020,유해업소,인천,860,476,55.3,,,,,
2020,유해업소,광주,583,341,58.5,,,,,
2020,유해업소,대전,589,330,56,,,,,
2020,유해업소,울산,533,319,59.8,,,,,
2020,유해업소,세종,316,164,51.9,,,,,
2020,유해업소,경기,3034,1604,52.9,,,,,
2020,유해업소,강원,500,326,65.2,,,,,
2020,유해업소,충북,672,377,56.1,,,,,
2020,유해업소,충남,760,439,57.8,,,,,
2020,유해업소,전북,700,392,56,,,,,
2020,유해업소,전남,611,321,52.5,,,,,
2020,유해업소,경북,767,397,51.8,,,,,
2020,유해업소,경남,1075,584,54.3,,,,,
2020,유해업소,제주,441,229,51.9,,,,,
,,,,,,,,,,
,총 인원,14536,,,,,,,,
