연도,종목,지역,전체_응답자수,있다고_응답한수,위험도,,,,,총위험도
2020,성인물,서울,1464,571,39,,,,서울,13.24444444
2020,성인물,부산,854,364,42.6,,,,부산,14.11111111
2020,성인물,대구,777,252,32.4,,,,대구,12.21111111
2020,성인물,인천,860,367,42.7,,,,인천,13.34444444
2020,성인물,광주,583,264,45.3,,,,광주,14.85555556
2020,성인물,대전,589,249,42.3,,,,대전,14.6
2020,성인물,울산,533,217,40.7,,,,울산,15.16666667
2020,성인물,세종,316,112,35.4,,,,세종,13.17777778
2020,성인물,경기,3034,1187,39.1,,,,경기,12.98888889
2020,성인물,강원,500,249,49.8,,,,강원,16.44444444
2020,성인물,충북,672,289,43,,,,충북,15.03333333
2020,성인물,충남,760,336,44.2,,,,충남,14.95555556
2020,성인물,전북,700,286,40.9,,,,전북,13.78888889
2020,성인물,전남,611,249,40.8,,,,전남,13.56666667
2020,성인물,경북,767,307,40,,,,경북,13
2020,성인물,경남,1075,427,39.7,,,,경남,13.43333333
2020,성인물,제주,441,172,39,,,,제주,13.25555556
2020,도박,서울,1464,60,4.1,,,,,
2020,도박,부산,854,39,4.6,,,,,
2020,도박,대구,777,37,4.8,,,,,
2020,도박,인천,860,36,4.2,,,,,
2020,도박,광주,583,39,6.7,,,,,
2020,도박,대전,589,37,6.3,,,,,
2020,도박,울산,533,35,6.6,,,,,
2020,도박,세종,316,11,3.5,,,,,
2020,도박,경기,3034,165,5.4,,,,,
2020,도박,강원,500,36,7.2,,,,,
2020,도박,충북,672,40,6,,,,,
2020,도박,충남,760,40,5.3,,,,,
2020,도박,전북,700,34,4.9,,,,,
2020,도박,전남,611,33,5.4,,,,,
2020,도박,경북,767,28,3.7,,,,,
2020,도박,경남,1075,52,4.8,,,,,
2020,도박,제주,441,18,4.1,,,,,
2020,폭력,서울,1464,82,5.6,,,,,
2020,폭력,부산,854,59,6.9,,,,,
2020,폭력,대구,777,32,4.1,,,,,
2020,폭력,인천,860,43,5,,,,,
2020,폭력,광주,583,33,5.7,,,,,
2020,폭력,대전,589,37,6.3,,,,,
2020,폭력,울산,533,40,7.5,,,,,
2020,폭력,세종,316,17,5.4,,,,,
2020,폭력,경기,3034,142,4.7,,,,,
2020,폭력,강원,500,30,6,,,,,
2020,폭력,충북,672,42,6.3,,,,,
2020,폭력,충남,760,55,7.2,,,,,
2020,폭력,전북,700,44,6.3,,,,,
2020,폭력,전남,611,40,6.5,,,,,
2020,폭력,경북,767,36,4.7,,,,,
2020,폭력,경남,1075,60,5.6,,,,,
2020,폭력,제주,441,29,6.6,,,,,
2020,성폭력,서울,1464,29,2,,,,,
2020,성폭력,부산,854,26,3,,,,,
2020,성폭력,대구,777,8,1,,,,,
2020,성폭력,인천,860,11,1.3,,,,,
2020,성폭력,광주,583,12,2.1,,,,,
2020,성폭력,대전,589,11,1.9,,,,,
2020,성폭력,울산,533,17,3.2,,,,,
2020,성폭력,세종,316,2,0.6,,,,,
2020,성폭력,경기,3034,46,1.5,,,,,
2020,성폭력,강원,500,9,1.8,,,,,
2020,성폭력,충북,672,10,1.5,,,,,
2020,성폭력,충남,760,14,1.8,,,,,
2020,성폭력,전북,700,19,2.7,,,,,
2020,성폭력,전남,611,13,2.1,,,,,
2020,성폭력,경북,767,7,0.9,,,,,
2020,성폭력,경남,1075,16,1.5,,,,,
2020,성폭력,제주,441,8,1.8,,,,,
2020,가출,서울,1464,38,2.6,,,,,
2020,가출,부산,854,22,2.6,,,,,
2020,가출,대구,777,11,1.4,,,,,
2020,가출,인천,860,15,1.7,,,,,
2020,가출,광주,583,15,2.6,,,,,
2020,가출,대전,589,18,3.1,,,,,
2020,가출,울산,533,19,3.6,,,,,
2020,가출,세종,316,11,3.5,,,,,
2020,가출,경기,3034,72,2.4,,,,,
2020,가출,강원,500,11,2.2,,,,,
2020,가출,충북,672,23,3.4,,,,,
2020,가출,충남,760,21,2.8,,,,,
2020,가출,전북,700,19,2.7,,,,,
2020,가출,전남,611,10,1.6,,,,,
2020,가출,경북,767,25,3.3,,,,,
2020,가출,경남,1075,27,2.5,,,,,
2020,가출,제주,441,21,4.8,,,,,
2020,음주,서울,1464,111,7.6,,,,,
2020,음주,부산,854,65,7.6,,,,,
2020,음주,대구,777,64,8.2,,,,,
2020,음주,인천,860,63,7.3,,,,,
2020,음주,광주,583,52,8.9,,,,,
2020,음주,대전,589,56,9.5,,,,,
2020,음주,울산,533,52,9.8,,,,,
2020,음주,세종,316,33,10.4,,,,,
2020,음주,경기,3034,221,7.3,,,,,
2020,음주,강원,500,57,11.4,,,,,
2020,음주,충북,672,76,11.3,,,,,
2020,음주,충남,760,86,11.3,,,,,
2020,음주,전북,700,44,6.3,,,,,
2020,음주,전남,611,54,8.8,,,,,
2020,음주,경북,767,56,7.3,,,,,
2020,음주,경남,1075,98,9.1,,,,,
2020,음주,제주,441,30,6.8,,,,,
2020,흡연,서울,1464,47,3.2,,,,,
2020,흡연,부산,854,21,2.5,,,,,
2020,흡연,대구,777,30,3.9,,,,,
2020,흡연,인천,860,20,2.3,,,,,
2020,흡연,광주,583,21,3.6,,,,,
2020,흡연,대전,589,31,5.3,,,,,
2020,흡연,울산,533,26,4.9,,,,,
2020,흡연,세종,316,25,7.9,,,,,
2020,흡연,경기,3034,96,3.2,,,,,
2020,흡연,강원,500,18,3.6,,,,,
2020,흡연,충북,672,50,7.4,,,,,
2020,흡연,충남,760,31,4.1,,,,,
2020,흡연,전북,700,26,3.7,,,,,
